  12:04:01,1,2,3,4,5
NICLBSL,58,35,65,,
EBL,57,33,60,,
MBJC,10,58,10,,
ICFC,52,29,53,,
ICFC,25,29,182,,
ICFC,13,29,500,,
ICFC,56,29,100,,
ICFC,45,29,10,,
ICFC,3,29,155,,
MBJC,10,57,10,,
SIL,45,57,20,,
NMB,57,22,120,,
NLIC,25,44,40,,
CLBSL,50,53,53,,
CLBSL,5,53,50,,
CLBSL,10,53,67,,
CLBSL,58,53,90,,
CLBSL,53,53,40,,
ICFC,22,19,20,,
ICFC,57,19,100,,
JBLB,52,57,10,,
HIDCL,7,25,20,,
MBJC,10,38,10,,
SAHAS,51,6,10,,
KPCL,45,52,400,,
KPCL,43,52,50,,
KPCL,53,52,190,,
TPC,6,26,10,,
MFIL,57,16,300,,
MBJC,10,57,10,,
HIDCL,25,32,1500,,
UNHPL,22,38,70,,
MBJC,10,38,10,,
AHPC,58,56,200,,
ILBS,42,21,12,,
MBJC,10,16,10,,
SCB,26,33,25,,
PRVU,39,57,689,,
PRVU,46,57,14,,
PRVU,56,57,100,,
PRVU,10,57,95,,
MFIL,51,16,10,,
MPFL,52,35,20,,
MBJC,10,16,10,,
GIC,16,36,10,,
CLBSL,53,42,10,,
HDHPC,13,42,480,,
API,41,56,190,,
MBJC,10,46,10,,
HIDCL,29,32,500,,
LBBL,51,39,200,,
CCBL,49,43,20,,
CZBIL,26,5,50,,
CCBL,58,43,100,,
ULI,49,32,10,,
PPCL,34,36,35,,
CCBL,53,43,500,,
CCBL,26,43,1000,,
CCBL,16,43,1500,,
CCBL,26,43,1000,,
CCBL,26,43,1000,,
CCBL,26,43,1000,,
CCBL,34,43,1871,,
BOKL,47,46,120,,
EBL,57,33,85,,
NLIC,50,44,18,,
NLIC,16,44,10,,
NLIC,52,44,200,,
NLIC,4,44,80,,
NLIC,14,44,43,,
NLIC,17,47,10,,
PFL,40,14,40,,
MBJC,10,55,10,,
CCBL,34,58,18,,
MBJC,10,58,10,,
HIDCL,55,58,65,,
SPC,53,14,10,,
AHPC,52,56,1000,,
SJCL,49,19,380,,
SJCL,25,19,500,,
SJCL,34,19,90,,
SJCL,35,19,20,,
SJCL,29,19,10,,
DDBL,41,41,83,,
NLIC,14,36,57,,
LEC,8,55,30,,
HIDCL,25,32,802,,
HIDCL,25,39,198,,
NTC,44,19,39,,
NTC,44,41,150,,
UMHL,28,52,100,,
UMHL,58,52,130,,
MBJC,10,58,10,,
NYADI,8,58,10,,
MBJC,10,26,10,,
SICL,26,36,33,,
NIFRA,28,34,25,,
HDL,20,3,20,,
SHPC,50,55,220,,
HDHPC,13,21,10,,
KBL,34,58,50,,
NGPL,41,17,100,,
SPDL,33,49,50,,
NICLBSL,58,1,15,,
MBJC,10,45,10,,
JOSHI,33,38,300,,
JOSHI,50,38,50,,
JOSHI,32,38,50,,
JOSHI,56,38,200,,
HIDCL,20,32,20,,
SJCL,29,45,90,,
RADHI,38,45,15,,
RADHI,44,45,72,,
MBJC,10,45,10,,
RADHI,45,45,50,,
HIDCL,54,32,10,,
HIDCL,54,1,20,,
MBJC,10,52,10,,
UMHL,58,58,50,,
GHL,29,34,4000,,
MBJC,10,16,10,,
NABIL,42,28,10,,
NABIL,58,28,20,,
NABIL,47,28,250,,
NABIL,35,28,10,,
NABIL,33,28,100,,
NABIL,13,28,20,,
NABIL,22,28,11,,
NHDL,59,19,60,,
MBJC,10,38,10,,
TPC,13,6,10,,
API,35,57,322,,
API,33,57,178,,
KKHC,57,22,90,,
GFCL,47,53,10,,
KSBBL,55,3,24,,
ULI,49,57,10,,
MBJC,10,38,10,,
NHDL,29,38,65,,
SICL,26,58,17,,
MBJC,10,58,10,,
SICL,40,58,50,,
MEGA,19,4,837,,
MEGA,19,4,163,,
NIFRA,42,28,400,,
NIFRA,42,19,100,,
JLI,10,49,10,,
RSDC,17,45,91,,
RSDC,34,45,50,,
RSDC,46,45,10,,
RSDC,28,45,30,,
RSDC,7,45,24,,
RLFL,32,45,494,,
MBJC,10,45,10,,
RLFL,45,45,16,,
RLFL,58,45,30,,
LBBL,4,58,100,,
LBBL,14,58,50,,
LBBL,57,58,50,,
PMHPL,59,52,857,,
LBBL,25,58,125,,
LBBL,25,58,125,,
PMHPL,50,52,60,,
LBBL,39,58,354,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,33,,
MBJC,10,6,10,,
GLH,58,21,10,,
UMHL,57,34,20,,
UMHL,57,3,30,,
MBJC,10,49,10,,
NICL,34,1,24,,
KSBBL,29,45,120,,
KSBBL,29,45,280,,
GLH,58,55,10,,
KKHC,17,22,110,,
ULI,41,58,10,,
MBJC,10,58,10,,
NHPC,25,32,300,,
NHPC,34,32,83,,
NHPC,17,32,250,,
MBJC,10,49,10,,
MEGA,45,4,50,,
PFL,40,6,10,,
MBJC,10,22,10,,
MBJC,10,57,10,,
UPPER,57,39,100,,
RMDC,28,32,32,,
RMDC,19,32,93,,
RMDC,45,32,100,,
GBIME,44,32,100,,
EBL,16,33,15,,
EBL,11,33,100,,
MBJC,10,58,10,,
MBJC,10,58,10,,
GIC,16,21,10,,
LBBL,39,21,100,,
API,36,38,10,,
SWBBL,57,51,500,,
NLIC,14,44,30,,
HIDCL,55,32,32,,
ALICL,5,25,178,,
CBBL,41,35,60,,
CBBL,57,35,10,,
CBBL,52,35,50,,
AKJCL,35,35,300,,
GLICL,28,16,490,,
GLICL,28,42,10,,
GLICL,28,54,270,,
UPPER,26,33,138,,
UPPER,57,33,162,,
MBJC,10,44,10,,
MERO,41,41,2,,
JBBL,49,42,150,,
JBBL,51,42,66,,
JBBL,49,42,40,,
SHL,48,57,175,,
CCBL,34,17,111,,
MBJC,10,58,10,,
TPC,13,26,10,,
MBJC,10,16,10,,
MLBSL,54,37,39,,
AHPC,34,1,200,,
AHPC,34,20,200,,
AHPC,34,49,200,,
AHPC,34,35,200,,
MBJC,10,34,10,,
AHPC,34,26,76,,
AHPC,34,6,70,,
AHPC,34,42,489,,
MBL,8,26,165,,
MBL,58,26,135,,
MBL,59,26,100,,
MBL,1,26,100,,
AHPC,36,42,11,,
NIFRA,48,36,70,,
NIFRA,36,36,30,,
AKJCL,49,6,425,,
AKJCL,6,6,100,,
DDBL,41,46,10,,
DDBL,8,46,10,,
NLIC,57,44,100,,
MBJC,10,3,10,,
MBJC,10,35,10,,
AHPC,34,51,65,,
JOSHI,50,14,50,,
JOSHI,1,14,50,,
JOSHI,48,14,100,,
MBJC,10,45,10,,
CZBIL,26,33,50,,
MBJC,10,58,10,,
MBJC,10,58,10,,
MBJC,10,58,10,,
MBJC,10,6,10,,
NGPL,41,22,475,,
JLI,10,35,10,,
LBBL,39,35,46,,
LBBL,42,35,15,,
LBBL,43,35,89,,
NICLBSL,58,50,10,,
MLBL,48,50,10,,
MLBL,4,50,62,,
KSBBL,38,21,100,,
